拠点ID,区市町村,名称,所在地,緯度１,経度１,緯度２,経度２,緯度３,経度３,緯度４,経度４,緯度５,経度５,緯度６,経度６,連絡先,連絡先詳細,入出庫可能時間,休業日,収容台数,一時利用/定期利用の別,一時利用部分の有料/無料の別,定期利用部分の有料/無料の別,ジャンル１,ジャンル２,備考,情報提供元
8045,江東区,西大島駅自転車駐車場,東京都江東区大島4-2-8,35.68828,139.8269,,,,,,,,,,,03-5609-6990,電話対応可能時間：午前6時30分～午後8時、日曜、祝祭日、午前7時～午後3時、但し12月31正午～1月3日を除く,24時間,なし,590台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・江東区
8046,江東区,西大島駅第二自転車駐車場,東京都江東区大島4-5-1,35.688905,139.826512,,,,,,,,,,,03-5609-6990,電話対応可能時間：午前6時30分～午後8時、日曜、祝祭日、午前7時～午後3時、但し12月31正午～1月3日を除く,24時間,なし,54台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・江東区
8047,江東区,東大島駅前自転車駐車場,東京都江東区大島9-3先 ,35.689941,139.846247,,,,,,,,,,,03-5609-6400,電話対応可能時間：午前6時30分～午後8時、日曜、祝祭日、午前7時～午後3時、但し12月31正午～1月3日を除く,24時間,なし,539台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・江東区
8048,江東区,東大島駅自転車駐車場,東京都江東区大島9-3-14,35.690228,139.845617,,,,,,,,,,,03-5609-6400,電話対応可能時間：午前6時30分～午後8時、日曜、祝祭日、午前7時～午後3時、但し12月31正午～1月3日を除く,24時間,なし,764台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・江東区
8049,江東区,東大島駅東自転車駐車場,東京都江東区大島9-9,35.690065,139.846454,,,,,,,,,,,03-5609-6400,電話対応可能時間：午前6時30分～午後8時、日曜、祝祭日、午前7時～午後3時、但し12月31正午～1月3日を除く,24時間,なし,55台,一時（原付のみ）利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・江東区
8050,江東区,亀戸水神駅自転車駐車場,東京都江東区亀戸8-5、亀戸8－6,35.699647,139.833807,,,,,,,,,,,0120-3566-21,電話対応可能時間：24時間,24時間,なし,70台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・江東区
8054,江東区,江東区南砂二丁目自転車駐車場,東京都江東区南砂2-4先,35.672164,139.820086,,,,,,,,,,,0120-773-281,電話対応可能時間：24時間,24時間,なし,57台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・江東区
8055,江東区,有明テニスの森駅自転車駐車場,東京都江東区有明1-8先、有明1-9先,35.6394573,139.789041,,,,,,,,,,,0120-773-281,電話対応可能時間：24時間,24時間,なし,80台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・江東区
8056,江東区,国際展示場駅自転車駐車場,東京都江東区有明3-7,35.634115,139.790906,,,,,,,,,,,070-4507-4568,電話対応可能時間：午前7時～午後0時、毎月21日～月末、午前7時～午後0時、午後2時～午後7時、但し1月1日～1月3日を除く,24時間,なし,300台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・江東区
8057,江東区,有明駅自転車駐車場,東京都江東区有明3-8,35.635131,139.793092,,,,,,,,,,,070-4507-4568,電話対応可能時間：午前7時～午後0時、毎月21日～月末、午前7時～午後0時、午後2時～午後7時、但し1月1日～1月3日を除く,24時間,なし,75台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・江東区
8058,江東区,森下駅自転車駐車場,東京都江東区森下1-12-4,35.68791,139.79751,,,,,,,,,,,03-3633-4031,電話対応可能時間：午前4時45分から翌午前1時15分,24時間,なし,39台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・江東区
9001,品川区,大井町駅西口区営自転車等駐車場,東京都品川区大井1-7-9,35.60693,139.7326,,,,,,,,,,,0120-3566-21,,24時間,なし,508台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9002,品川区,荏原町駅区営自転車等駐車場,東京都品川区中延5-1-1,35.60363,139.7071,,,,,,,,,,,0120-3566-21,,24時間,なし,232台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9003,品川区,大井町駅東口区営自転車等駐車場,東京都品川区東大井5-20～22先、東大井6-1先,35.60525,139.73551,,,,,,,,,,,0120-3566-21,,24時間,なし,768台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9004,品川区,大井町駅西口第２区営自転車等駐車場,東京都品川区大井4-3先、大井4-4先,35.60472,139.73462,35.60418,139.73441,,,,,,,,,0120-3566-21,,24時間,なし,482台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9005,品川区,大崎駅東口区営自転車等駐車場,東京都品川区大崎1-4先,35.62077,139.72837,,,,,,,,,,,0120-3566-21,,24時間,なし,225台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9006,品川区,大崎駅西口区営自転車等駐車場,東京都品川区大崎2-1先,35.61882,139.7282,,,,,,,,,,,0120-3566-21,,4:00-(翌)1:30,なし,901台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9007,品川区,天王洲アイル駅第1区営自転車等駐車場,東京都品川区東品川2-5先,35.62065,139.7506,,,,,,,,,,,0120-3566-21,,5:00-(翌)1:00,なし,267台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9008,品川区,品川シーサイド駅区営自転車等駐車場,東京都品川区東品川4-12先,35.60891,139.74966,,,,,,,,,,,0120-3566-21,,5:00-(翌)1:00,なし,485台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9009,品川区,新馬場駅区営自転車等駐車場,東京都品川区南品川2-9先,35.61452,139.74184,,,,,,,,,,,0120-3566-21,,24時間,なし,57台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9010,品川区,大井競馬場前駅区営自転車等駐車場,東京都品川区勝島1-4先、勝島1-5先,35.59609,139.747,,,,,,,,,,,0120-3566-21,,24時間,なし,411台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9011,品川区,五反田駅区営自転車等駐車場,東京都品川区西五反田2-2～5番先、東五反田5-27先,35.62773,139.7216,35.62637,139.7233,,,,,,,,,0120-3566-21,,24時間,なし,403台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9012,品川区,地下鉄中延駅第2区営自転車等駐車場,東京都品川区中延4-7先,35.60481,139.7136,,,,,,,,,,,0120-3566-21,,24時間,なし,74台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9013,品川区,地下鉄中延駅第3区営自転車等駐車場,東京都品川区豊町6-24先,35.60444,139.71329,,,,,,,,,,,0120-3566-21,,24時間,なし,58台,定期利用のみ,,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9014,品川区,地下鉄戸越駅第1区営自転車等駐車場,東京都品川区平塚1-6先,35.61559,139.71663,,,,,,,,,,,0120-3566-21,,24時間,なし,63台,定期利用のみ,,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9015,品川区,戸越銀座駅区営自転車等駐車場,東京都品川区平塚1-5-1,35.61627,139.71518,,,,,,,,,,,0120-3566-21,,24時間,なし,93台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9016,品川区,旗の台駅第1区営自転車等駐車場,東京都品川区旗の台2-6先,35.60595,139.70438,,,,,,,,,,,0120-3566-21,,24時間,なし,110台,定期利用のみ,,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9017,品川区,旗の台駅第2区営自転車等駐車場,東京都品川区旗の台2-7先,35.60595,139.70438,,,,,,,,,,,0120-3566-21,,24時間,なし,62台,一時利用のみ,有料,,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9018,品川区,大森駅水神口区営自転車等駐車場,東京都品川区南大井6-15先、南大井6-18先、南大井6-23先,35.58985,139.7293,35.59106,139.7309,35.58973,139.73,,,,,,,0120-3566-21,,24時間,なし,1211台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9019,品川区,西大井駅区営自転車等駐車場,東京都品川区二葉2-26-6、西大井1-3先、西大井1-4先,35.60224,139.72202,35.60183,139.7222,35.60234,139.7227,,,,,,,0120-3566-21,,24時間,なし,536台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9020,品川区,青物横丁駅区営自転車等駐車場,東京都品川区南品川2-4先,35.61008,139.74276,,,,,,,,,,,0120-3566-21,,24時間,なし,330台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9021,品川区,立会川駅区営自転車等駐車場,東京都品川区南大井1-3-1,35.59789,139.73851,,,,,,,,,,,0120-3566-21,,24時間,なし,270台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9022,品川区,下神明駅区営自転車等駐車場,東京都品川区二葉1-1先,35.60837,139.72625,,,,,,,,,,,0120-3566-21,,24時間,なし,141台,一時利用のみ,有料,,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9023,品川区,戸越公園駅第1区営自転車等駐車場,東京都品川区戸越5-10先,35.60894,139.71872,,,,,,,,,,,0120-3566-21,,24時間,なし,106台,一時利用のみ,有料,,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
9024,品川区,戸越公園駅第2区営自転車等駐車場,東京都品川区戸越6-6先,35.60867,139.71741,,,,,,,,,,,0120-3566-21,,24時間,なし,15台,一時利用のみ,有料,,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・品川区
10001,目黒区,駒場東大前西口駐輪場,東京都目黒区駒場2-7-1,35.658833,139.682705,,,,,,,,,,,03-3424-8400,,24時間,なし,38台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10002,目黒区,駒場東大前東大口駐輪場,東京都目黒区駒場3-8-1,35.658715,139.684572,,,,,,,,,,,03-3424-8400,,24時間,なし,51台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10003,目黒区,駒場三丁目駐輪場,東京都目黒区駒場3-10-15,35.659164,139.682053,,,,,,,,,,,03-3424-8400,,24時間,なし,70台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10004,目黒区,池尻大橋駅北口駐輪場,東京都目黒区大橋2-24-11,35.6514278,139.684945,,,,,,,,,,,03-3424-8400,,24時間,なし,430台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10005,目黒区,池尻大橋駅東口駐輪場,東京都目黒区大橋1-9-3,35.650614,139.68716,,,,,,,,,,,03-3424-8400,,5:00-（翌）1:00,なし,221台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10006,目黒区,中目黒駅前駐輪場,東京都目黒区上目黒2-1-4,35.64353,139.699751,,,,,,,,,,,03-5721-4315,,5:00-（翌）1:10,なし,600台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10007,目黒区,上目黒一丁目駐輪場,東京都目黒区上目黒1-26-3,35.644446,139.699911,,,,,,,,,,,03-3714-5061,,5:00-（翌）1:00,なし,464台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10008,目黒区,祐天寺駅西口第一駐輪場,東京都目黒区五本木1-33-8,35.637427,139.690301,,,,,,,,,,,03-3714-4111,,5:00-（翌）1:00,なし,613台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10009,目黒区,祐天寺駅西口第二駐輪場,東京都目黒区五本木1-31-6,35.637745,139.690964,,,,,,,,,,,03-3714-4111,,5:00-（翌）1:00,なし,114台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10010,目黒区,祐天寺駅南高架下駐輪場,東京都目黒区五本木1-32-20,35.6358667,139.689668,,,,,,,,,,,03-3714-4111,,5:00-（翌）1:00,なし,113台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10011,目黒区,学芸大学駅東口駐輪場,東京都目黒区鷹番2-19-15,35.628419,139.685926,,,,,,,,,,,03-3794-2423,,5:30-23:00,なし,450台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10012,目黒区,学芸大学駅西口第一駐輪場,東京都目黒区鷹番3-7-4,35.629466,139.685025,,,,,,,,,,,03-3794-2423,,24時間,なし,310台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10013,目黒区,学芸大学駅西口第二駐輪場,東京都目黒区鷹番3-17-2,35.628042,139.683303,,,,,,,,,,,03-3794-2423,,定期利用24時間、１日利用　入庫7:00-18:00　出庫24時間,なし,280台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10014,目黒区,都立大学駅北口駐輪場,東京都目黒区柿の木坂1-30-12,35.618765,139.675289,,,,,,,,,,,03-5729-0043,,5:00-（翌）1:00,年始,262台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10015,目黒区,中根一丁目駐輪場,東京都目黒区中根1-2-16先、1-3-10先,35.617764,139.675841,,,,,,,,,,,03-5729-0043,,24時間,なし,140台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10016,目黒区,自由が丘駅南口駐輪場,東京都目黒区自由が丘2-13-9,35.606746,139.667457,,,,,,,,,,,03-5729-0909,,6:00-23:00,年始,288台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10017,目黒区,洗足二丁目駐輪場,東京都目黒区洗足2-18-11,35.610512,139.693327,,,,,,,,,,,03-5721-1885,,5:00-（翌）1:00,なし,130台,定期利用のみ,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
10018,目黒区,緑が丘駅駐輪場,東京都目黒区緑が丘3-1-10,35.6063419,139.67923,,,,,,,,,,,03-6459-5770,,5:00-（翌）1:00,なし,432台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・目黒区
11001,大田区,大森駅東口自転車駐車場,東京都大田区大森北1-1・12先,35.587422,139.729448,,,,,,,,,,,03-3765-9487,,24時間,なし,1080台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11002,大田区,大森駅入新井自転車駐車場,東京都大田区大森北1-39・4-27,35.585346,139.72617,,,,,,,,,,,03-3765-8191,,24時間,なし,1401台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11003,大田区,大森複合施設ビル地下（区営）自転車駐車場,東京都大田区大森北1-10-14,35.586578,139.728568,,,,,,,,,,,03-5744-1390,,4:30-（翌）1:30,なし,536台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11004,大田区,大森駅入新井公園自転車駐車場,東京都大田区大森北1-20先,35.586515,139.730489,,,,,,,,,,,03-3765-9487,,24時間,なし,130台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11005,大田区,大森駅西口自転車駐車場,東京都大田区山王2-8,35.589302,139.726991,,,,,,,,,,,03-3778-7098,,24時間,なし,460台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11006,大田区,大森駅西口臨時自転車駐車場,東京都大田区山王2-3,35.586925,139.726532,,,,,,,,,,,03-5744-1390,,24時間,なし,46台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11007,大田区,大森駅山王小前自転車駐車場,東京都大田区山王1-26先,35.591329,139.726143,,,,,,,,,,,03-5744-1390,,24時間,なし,41台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11008,大田区,平和島駅前国道下自転車駐車場,東京都大田区大森北6-29先,35.578435,139.735196,,,,,,,,,,,03-3765-8229,,24時間,なし,1260台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11009,大田区,馬込駅前自転車駐車場,東京都大田区東馬込1-32先,35.595577,139.712134,,,,,,,,,,,03-3771-0620,,24時間,なし,620台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11010,大田区,西馬込駅前自転車駐車場,東京都大田区西馬込2-20,35.58641,139.705389,,,,,,,,,,,03-5709-3227,,5:30-（翌）0:30,なし,505台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11011,大田区,池上駅前自転車駐車場,東京都大田区池上6-8,35.5715,139.702747,,,,,,,,,,,03-3751-2343,,24時間,なし,605台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11012,大田区,梅屋敷駅自転車駐車場,東京都大田区大森西6-15先,35.5676577,139.728831,,,,,,,,,,,03-3298-0236,,24時間,なし,481台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11013,大田区,昭和島駅前自転車駐車場,東京都大田区昭和島2-2,35.571548,139.749506,,,,,,,,,,,03-5744-1390,,24時間,なし,600台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11014,大田区,大森海岸駅前臨時自転車駐車場,東京都大田区大森北2-18先,35.586942,139.735553,,,,,,,,,,,03-5744-1390,,24時間,なし,138台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11015,大田区,流通センター駅前自転車駐車場,東京都大田区平和島6-2先,35.582137,139.748907,,,,,,,,,,,03-5744-1390,,24時間,なし,185台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
